順位,都道府県,市町村,件数,寄付金額,送付に関する費用,1件あたり送付費用
1,北海道,深川市,12695,441121000,63611869,5011
2,北海道,奈井江町,2549,99426000,11140941,4371
3,北海道,奥尻町,753,49701622,3103432,4121
4,北海道,秩父別町,26039,763136000,96940004,3723
5,北海道,新十津川町,3134,98542000,11465570,3658
6,北海道,厚真町,16279,469425500,57490000,3532
7,北海道,東神楽町,6964,246248600,22967368,3298
8,北海道,雨竜町,6658,230395000,21200900,3184
9,北海道,木古内町,2083,53695000,6447992,3096
10,北海道,余市町,27544,781594000,79656886,2892
11,北海道,栗山町,12075,283341300,33445668,2770
12,北海道,豊浦町,1753,45208300,4800975,2739
13,北海道,岩見沢市,16561,378831351,45055704,2721
14,北海道,当麻町,22848,492097100,61191413,2678
15,北海道,夕張市,18495,387228958,49427877,2672
16,北海道,厚岸町,38621,909764000,101004477,2615
17,北海道,中標津町,6833,116490413,17763450,2600
18,北海道,利尻富士町,18797,485833500,48258855,2567
19,北海道,新篠津村,1828,40400000,4594232,2513
20,北海道,えりも町,34171,796770739,85533743,2503
21,北海道,妹背牛町,17947,291104000,44804584,2496
22,北海道,積丹町,2011,78330000,4931374,2452
23,北海道,北竜町,25905,399385000,60402361,2332
24,北海道,遠別町,6495,86810000,15139731,2331
25,北海道,足寄町,3906,85194000,8861702,2269
26,北海道,黒松内町,10847,183961312,24525582,2261
27,北海道,幕別町,14826,264533000,33110970,2233
28,北海道,仁木町,27005,478837000,60092730,2225
29,北海道,南幌町,6470,97166158,14307357,2211
30,北海道,愛別町,1330,46930000,2933278,2205
131,北海道,新得町,5040,77115000,6741403,1338
132,北海道,釧路市,58452,1176820600,77464468,1325
133,北海道,本別町,5462,82344000,7209059,1320
134,北海道,安平町,50735,585043090,66676093,1314
135,北海道,占冠村,335,13768000,439853,1313
136,北海道,雄武町,25884,329004000,33384167,1290
137,北海道,名寄市,4721,73542000,6079725,1288
138,北海道,乙部町,3889,88039000,5003786,1287
139,北海道,遠軽町,7218,94378000,9234032,1279
140,北海道,士幌町,33123,399037290,42303436,1277
141,北海道,増毛町,44109,558278000,56209408,1274
142,北海道,滝川市,104630,1728535500,132383036,1265
143,北海道,札幌市,41202,1033327776,51687332,1254
144,北海道,福島町,3343,53128000,4169819,1247
145,北海道,蘭越町,2656,37648000,3299490,1242
146,北海道,北見市,171667,1909239400,209542754,1221
147,北海道,猿払村,10793,248444000,13020588,1206
148,北海道,湧別町,12787,147859000,15417510,1206
149,北海道,浦幌町,8051,92505388,9659903,1200
150,北海道,砂川市,12522,549246000,14903142,1190
151,北海道,芦別市,55424,576279380,65219339,1177
152,北海道,中川町,144,3165000,168945,1173
153,北海道,壮瞥町,7665,120729000,8844410,1154
154,北海道,広尾町,7563,131370000,8717024,1153
155,北海道,北広島市,14053,227743000,16131508,1148
156,北海道,幌延町,2972,30835000,3400326,1144
157,北海道,石狩市,30107,606638299,34275064,1138
158,北海道,ニセコ町,1460,47950000,1640210,1123
159,北海道,浜頓別町,507,7366000,561891,1108
160,北海道,津別町,3051,67011000,3350550,1098
